la_code,la_name,date_code,measurement,units,sex,Alcohol consumption (mean weekly units),Alcohol consumption: Hazardous/Harmful drinker,Alcohol consumption: Moderate drinker,Alcohol consumption: Non-drinker,Any cardiovascular condition: Has a cardiovascular condition,Any cardiovascular condition: No cardiovascular condition,Doctor-diagnosed asthma: No,Doctor-diagnosed asthma: Yes,E-cigarette use: Currently using,E-cigarette use: Ever previously used,E-cigarette use: Never used,Fruit & vegetable consumption (mean daily portions),Fruit & vegetable consumption: 5 portions or more,Fruit & vegetable consumption: Less than 5 portions,Fruit & vegetable consumption: None,General health questionnaire (GHQ-12): Score 0,General health questionnaire (GHQ-12): Score 1-3,General health questionnaire (GHQ-12): Score 4+,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Life satisfaction: Mode (8),Long-term illness: Limiting long-term illness,Long-term illness: No long-term illness,Long-term illness: Non-limiting long-term illness,Mental wellbeing,Obesity: Not obese,Obesity: Obese,Overweight: Not overweight or obese,Overweight: Overweight (including obese),"Provide any regular help or care for any sick, disabled or frail person: No","Provide any regular help or care for any sick, disabled or frail person: Yes",Self-assessed general health: Bad/Very bad,Self-assessed general health: Fair,Self-assessed general health: Very good/Good,Smoking status: Current smoker,Smoking status: Never smoked/Used to smoke occasionally,Smoking status: Used to smoke regularly,Summary activity levels: Low activity,Summary activity levels: Meets recommendations,Summary activity levels: Some activity,Summary activity levels: Very low activity
S12000036,City of Edinburgh,2016-2019,Percent,Percent Of Adults,Male,NA,43,47,10,8,92,85,15,7,13,79,NA,29,64,6,57,24,19,32,37,31,22,65,14,NA,81,19,42,58,92,8,4,14,82,20,61,19,1,81,7,11
S12000008,East Ayrshire,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000008,East Ayrshire,2015-2018,Percent,Percent Of Adults,Male,NA,33,52,15,22,78,NA,NA,NA,NA,NA,NA,11,68,20,62,21,17,NA,NA,NA,48,43,9,NA,66,34,26,74,NA,NA,11,20,69,19,55,26,3,58,6,32
S12000036,City of Edinburgh,2015-2018,Mean,Units of alcohol,Male,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2016-2019,Mean,Units of alcohol,Male,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000008,East Ayrshire,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2016-2019,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000034,Aberdeenshire,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2015-2018,Mean,Units of alcohol,Male,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2016-2019,Mean,Units of alcohol,Male,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000034,Aberdeenshire,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,Male,NA,34,53,13,14,86,NA,NA,4,11,85,NA,16,75,10,67,20,13,NA,NA,NA,29,56,16,NA,62,38,24,76,NA,NA,6,20,74,22,58,20,3,66,12,18
S12000023,Orkney Islands,2016-2019,Percent,Percent Of Adults,Male,NA,32,57,10,18,82,85,15,2,14,84,NA,29,62,10,65,23,12,45,24,31,32,46,21,NA,67,33,21,79,86,14,5,12,82,15,60,25,3,67,11,19
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,Male,NA,29,60,11,12,88,86,14,4,10,86,NA,15,76,9,68,19,13,37,29,34,31,54,16,NA,67,33,30,70,87,13,5,21,74,21,57,22,4,65,11,20
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,Male,NA,31,55,14,22,78,85,15,5,12,83,NA,21,71,8,60,26,14,37,36,26,38,52,11,NA,68,32,28,72,85,15,10,15,75,19,53,28,4,66,9,21
S12000023,Orkney Islands,2015-2018,Percent,Percent Of Adults,Male,NA,33,56,11,19,81,NA,NA,3,11,87,NA,24,65,11,68,22,11,NA,NA,NA,32,46,22,NA,69,31,24,76,NA,NA,6,12,82,17,51,31,3,67,10,20
S12000027,Shetland Islands,2016-2019,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,2016-2019,Mean,Units of alcohol,Male,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,Male,NA,30,59,11,20,80,NA,NA,6,10,84,NA,20,71,8,61,24,15,NA,NA,NA,35,51,14,NA,69,31,28,72,NA,NA,7,17,76,19,50,31,6,64,9,22
S12000026,Scottish Borders,2016-2019,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,2015-2018,Mean,Units of alcohol,Male,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000026,Scottish Borders,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000026,Scottish Borders,2015-2018,Mean,Units of alcohol,Male,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000026,Scottish Borders,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000026,Scottish Borders,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000026,Scottish Borders,2016-2019,Mean,Units of alcohol,Male,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,Male,NA,34,54,12,15,85,NA,NA,4,10,86,NA,17,66,17,63,21,16,NA,NA,NA,31,55,14,NA,69,31,31,69,NA,NA,8,18,73,20,58,22,4,64,10,21
S12000023,Orkney Islands,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,Male,NA,34,56,10,16,84,76,24,4,13,83,NA,14,69,16,60,24,16,27,39,33,33,51,16,NA,66,34,27,73,84,16,10,18,72,20,57,23,3,67,10,20
S12000029,South Lanarkshire,2015-2018,Mean,Units of alcohol,Male,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2016-2019,Mean,Units of alcohol,Male,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000021,North Ayrshire,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,Male,NA,33,52,15,20,80,NA,NA,NA,NA,NA,NA,16,76,8,NA,NA,NA,NA,NA,NA,53,37,10,NA,NA,NA,NA,NA,NA,NA,11,16,73,17,53,30,1,66,8,25
S12000023,Orkney Islands,2015-2018,Mean,Units of alcohol,Male,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2016-2019,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000028,South Ayrshire,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000028,South Ayrshire,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2016-2019,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2016-2019,Mean,Units of alcohol,Male,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2016-2019,Percent,Percent Of Adults,Male,NA,30,56,13,21,79,83,17,6,13,81,NA,17,71,12,67,20,14,40,34,26,34,52,14,NA,66,34,24,76,88,12,8,26,66,23,50,27,2,66,11,20
S12000006,Dumfries and Galloway,2015-2018,Percent,Percent Of Adults,Male,NA,29,52,19,21,79,NA,NA,5,13,82,NA,19,71,10,66,23,12,NA,NA,NA,35,53,13,NA,63,37,25,75,NA,NA,9,29,62,22,51,26,2,66,8,23
S12000006,Dumfries and Galloway,2016-2019,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2016-2019,Mean,Units of alcohol,Male,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2015-2018,Mean,Units of alcohol,Male,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2015-2018,Percent,Percent Of Adults,All,NA,22,64,14,19,81,NA,NA,2,8,90,NA,23,68,9,63,23,14,NA,NA,NA,36,42,22,NA,69,31,27,73,NA,NA,6,14,81,13,60,27,6,61,11,22
S12000050,North Lanarkshire,2016-2019,Percent,Percent Of Adults,All,NA,26,57,17,16,84,86,14,7,12,81,NA,15,73,12,59,22,20,29,40,30,36,52,12,NA,67,33,30,70,84,16,12,22,66,24,51,25,3,60,14,23
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,All,NA,24,64,13,20,80,84,16,8,11,82,NA,23,70,7,60,25,15,39,34,27,32,54,14,NA,72,28,35,65,84,16,8,18,74,18,56,26,5,64,12,19
S12000023,Orkney Islands,2016-2019,Percent,Percent Of Adults,All,NA,23,62,16,19,81,80,20,1,10,89,NA,25,66,8,60,24,16,44,24,32,37,42,21,NA,67,33,25,75,84,16,6,15,79,12,65,23,5,61,12,22
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,All,NA,22,66,11,18,82,NA,NA,8,9,83,NA,23,70,7,62,23,16,NA,NA,NA,30,52,19,NA,71,29,35,65,NA,NA,6,19,75,17,55,27,6,61,13,20
S12000023,Orkney Islands,2016-2019,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2015-2018,Percent,Percent Of Adults,All,NA,28,54,18,16,84,NA,NA,8,10,82,NA,15,73,12,60,20,20,NA,NA,NA,35,53,12,NA,66,34,29,71,NA,NA,12,20,68,24,51,26,4,59,13,23
S12000023,Orkney Islands,2016-2019,Mean,Units of alcohol,All,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2016-2019,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000026,Scottish Borders,2016-2019,Mean,Units of alcohol,All,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2015-2018,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2016-2019,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2015-2018,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2015-2018,Mean,Units of alcohol,All,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2015-2018,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2016-2019,Mean,Units of alcohol,All,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2015-2018,Mean,Units of alcohol,All,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000026,Scottish Borders,2016-2019,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2015-2018,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2016-2019,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2016-2019,Percent,Percent Of Adults,All,NA,17,60,23,16,84,83,17,5,9,87,NA,19,74,7,67,19,14,44,22,34,36,44,20,NA,72,28,29,71,84,16,6,26,68,16,55,28,2,67,8,23
S12000006,Dumfries and Galloway,2015-2018,Percent,Percent Of Adults,All,NA,19,64,16,15,85,NA,NA,7,13,80,NA,19,72,9,61,26,14,NA,NA,NA,32,56,12,NA,65,35,28,72,NA,NA,9,22,68,20,54,25,3,65,9,23
S12000049,Glasgow City,2015-2018,Percent,Percent Of Adults,All,NA,22,58,20,16,84,NA,NA,8,15,77,NA,22,66,12,47,31,23,NA,NA,NA,35,53,12,NA,72,28,38,62,NA,NA,11,20,69,25,53,22,5,62,10,22
