LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,LIFEEXP,TOT,YR,A,2016,82,
CAN,LIFEEXP,TOT,YR,A,2017,82,
CAN,LIFEEXP,TOT,YR,A,2018,82,
FRA,LIFEEXP,TOT,YR,A,2016,82.7,
FRA,LIFEEXP,TOT,YR,A,2017,82.7,
FRA,LIFEEXP,TOT,YR,A,2018,82.8,
DEU,LIFEEXP,TOT,YR,A,2016,81.1,
DEU,LIFEEXP,TOT,YR,A,2017,81.1,
DEU,LIFEEXP,TOT,YR,A,2018,81,
ITA,LIFEEXP,TOT,YR,A,2016,83.3,
ITA,LIFEEXP,TOT,YR,A,2017,83,
ITA,LIFEEXP,TOT,YR,A,2018,83.4,
JPN,LIFEEXP,TOT,YR,A,2016,84.1,
JPN,LIFEEXP,TOT,YR,A,2017,84.2,
GBR,LIFEEXP,TOT,YR,A,2016,81.2,
GBR,LIFEEXP,TOT,YR,A,2017,81.3,
GBR,LIFEEXP,TOT,YR,A,2018,81.3,
USA,LIFEEXP,TOT,YR,A,2016,78.7,
USA,LIFEEXP,TOT,YR,A,2017,78.6,
USA,LIFEEXP,TOT,YR,A,2018,78.7,